NP10.10.Message.1,虽然不抱希望 但还是问一句 这周六去周一回 大川古生物化石展 有要去的吗？因为要留宿 限女生,
NP10.30.Message.1,"2010年6月23日，亚东电子通信监察委员会公布《限制赛博生命不正当竞争法案》，即现在简称的《限制法案》。一般认为，《限制法案》中有两条规定对如今亚东社会有重大影响：
其一，指定 ThreadTech （下文简称TT）为唯一一家示范公司，带头推进《限制法案》的落实；在委员会需要之时委托 TT 审核所有委员会应审查之事由。
其二，雇佣赛博生命参与高新技术行业的公司和单位（包括高校），必须提报亚东电子通信监察委员会审核，否则处以高额罚款，并吊销科研、营运等资质。
《限制法案》执行至今，仅有 5 家公司通过了审核，分别是 TT 和 4 家其高管拥有的技术公司。
据数据统计网站 Neo Bar （已注销）公布的统计，《限制法案》的公布创造了新鲜事历史上热度最高的话题。其中被讨论最多的是：《限制法案》中并未说明高新技术行业的范围以及雇佣资质审核标准。亚东电子通信监察委员会和 TT 至今没有回应相关话题。

<color=#3164c0>#历史上的今天</color>
<color=#3164c0>#限制法案</color>
<color=#3164c0>#互联网的记忆不会磨灭</color>",
NP10.30.Comment.1,说这些没用的干嘛？能做点实事吗？,
NP10.30.Comment.2,看到亚东电子通已经开始犯困了,
NP10.40.Message.1,"2006年6月25日，TT成立爆破组，由首席工程师 Baker 带头研发赛博生命相关技术。爆破组与千砂，洋红伞等赛博生命公司紧密合作，陆续完成了麻铁智能网络、湾区路灯变荷负载系统、5毫秒高速信息通道等麻园信息化的重要项目。

<color=#3164c0>#历史上的今天</color>
<color=#3164c0>#互联网的记忆不会磨灭</color>",
NP10.40.Comment.1,给 TT 说好话？屁股歪咯,
NP10.40.Comment.2,已举办,
NP10.40.Comment.3,TT 还干过好事？收了多少钱啊,
NP10.55.Message.1,"抱歉占用您的时间。自上个月起我们的大部分域名和社交媒体账号在 TT 的幕后操作下相继沦陷、储存在云端07 至 09 年的网页存档数据几乎全部丢失。我们的两名数据库核心成员以及一位赞助者可能遭到 TT 的非法拘禁，至今生死未卜。即便我们已经尽量客观地陈述历史，仍然躲不过 TT 的追猎。
我们发觉了我们的软弱，因此我们不再姑息，我们不会将互联网的记忆就这么拱手相让。
我们呼吁您——所有的人类和赛博生命和我们一起为 E-Musemu 项目而战。这不仅是互联网的记忆，也是揭露 TT 真面目的堡垒。
如您愿意提供任何资金、技术、人力，请通过动态链接联系我们，我们会为您提供安全的NOR链接。",
NP10.55.Comment.1,你说的这些内容有任何实锤吗？什么事都怪到 TT 头上？,
NP10.55.Comment.2,支持,
NP10.31.Message.1,"再发重大事件！我社特工从前线传回 Finder 惊天黑料！
昨日凌晨，赛博生命组织真海租用在云府区北部的维生服务器遭到 Finder 破坏。据现场目击者报告，Finder 有大约15人携带棍棒冲进服务器所在的楼栋，在遭到安保人员阻拦后，Finder 对阻拦者使用了电击枪，随后他们大肆打砸房间内的设备。赛博生命组织真海在新鲜事上声明：
这是一次有预谋的报复，Finder 的行为导致了维生服务器散热系统彻底崩溃，有 12 位正在服务器上补充算量的赛博生命被波及，其中 2人死亡，10人重伤。
目前该声明和真海的官号已被封禁，但是本社不会忘记。

<color=#3164c0>#反对暴力</color>
<color=#3164c0>#Finder丑闻</color>
<color=#3164c0>#TT 黑料</color>",
